,emotion,talk
11,Sadness,첫 아이 를 배다 유산 을 하다 비통하다 기분 이야. 뭔가 불안하다 느낌 이 들어서다 병원 에 가다 자연 유산 이라고 하다 너무 슬프다 계속 울다. 심신 을 안정 시키다 긍정 적 인 생각 을 하다 게 중요하다 말 처럼 쉬다 않다.
12,Sadness,오늘 영구 임신 불가 라는 진단 을 받다 비통하다 기분 이 들다. 남편 이랑 나 는 아이 를 빨리 가지 고 싶다 하다 이렇게 돼다 너무 속상하다. 모르다. 아무 생각 도 안 나서다 일단 은 그냥 쉬 고 싶다.
13,Sadness,남편 에게 여자 가 있다 사실 을 알다 울다 날 이 많아지다 비통하다 기분 이야. 결혼 전 부터 알 고 지내다 사이 인데 내 앞 에서는 그냥 선후배 처럼 연기 하다 너무 비참하다. 창피하다 누구 한테 말 하다 어렵다. 그냥 변호사 를 만나다 법적 인 문제 들 을 알아보다 해.
14,Sadness,내 산후조리 에 남편 이 별로 관심 이 없다 보 여서 우울하다. 남편 이 바쁘다 건 알 지만 다른 남편 들 에 비다 지나치다 관심 이 없다. 시부모 님 께 남편 을 따끔하다 혼내다 달라 고 말씀드리다 싶다.
15,Joy,자연 분만 을 하다 하다 출산 하다 때 남편 이 옆 에 있다 수 있다 안심 이야. 응. 다른 사람 들 말 을 들다 보다 그게 더 안정 도 되다 남편 도 아이 에게 유 대감 을 느끼다 더 라고. 그렇다. 아이 가 나오다 순간 의 감동 을 남편 과 함께 오 롯 이 느끼다 좋다.
16,Panic,처음 남자 를 사귀다 스킨십 문제 를 어떻다 하다 하다 모르다. 응. 만난 지다 하다 달이 넘다 아직 손 만 잡다 부끄럽다 앞 으로가 걱정 이야. 내 기분 과 의사 가 존중 되다 선 에서 분위기 에 맡기다 게 자연스럽다 것 같다.
17,Panic,내 가 선배 랑 사귀다 게 사람 들 한테 알려지다 너무 당황 스럽다. 다 들다 같다 과 에 동아리 도 겹 치다 우리 가 같이 있다 것 만 보다 놀 리더 라고. 부끄럽다 죽다. 난 부끄럽다 말 이 자다 안 나오다 더 걱정 이야. 최대한 선배 랑 같이 있다 모습 을 들키다 말다 해.
18,Panic,부끄럽다 남편 은 아이 들 이 있다 데 서 뽀뽀 를 하다 해. 응. 애정 표현 이 과 한 것 도 언제나 좋다 건 아니다 듯 하다. 가볍다 뽀뽀 만 하다 말다 하다. 아이 들 한테 도 스킨십 에 대해 설명 을 해 주다.
19,Panic,남자 친구 가 사람 이 많다 길 에서 프로포즈 를 하다 많이 부끄럽다. 갑자기 길 한 복판 에서 무릎 을 꿇다 어안 이 벙벙하다. 나중 에는 사람 들 의 시선 때문 에 부끄럽다. 응. 아주 많이 부끄럽다 그래도 인생 에서 다시 없다 경험 이자 소중하다 기억 이 되다 것 같다.
20,Panic,곧 남편 이 되다 남자친구 랑 첫날 밤 을 어떻다 보내다 하다 걱정 이야. 낭만 적 인 날 이 돼다 좋다 잊다 못 하다 추억 이 돼다 좋다. 먼저 결혼 한 친구 들 한테 물어보다 하다 것 같다. 드러내다 이렇다 이야기 를 하다 적 이 별로 없다 부끄럽다 하지만.
21,Panic,가끔 씩 남자 친구 가 공공장소 에서 애정 표현 을 하다 그렇다 때 마다 조금 난처하다. 둘 이 있다 때 는 그렇다 않다 다른 사람 이 볼 수 있다 그렇다 것 같다. 남자 친구 한테 스킨십 은 둘 만 있다 때 하다 게 마음 이 편하다 말 하다 거야.
22,Panic,곧 결혼기념일 인데 부끄럽다 남편 에게 말 대신 편지 로 마음 을 고백 하다. 고맙다 사랑 한다는 얘기 를 입 밖 으로 꺼내다 건 조금 부끄럽다 더 라고. 맞다. 그래서 글재주 는 없다 진심 으로 편지 를 써다.
23,Panic,어리다 보다 후배 가 내다 고백 하다 당황 스럽다 어떻다 하다 하다 모르다. 심지어 내 얼굴 을 빨다 보다 나르다 좋아하다 말 하 니까 정말 부끄럽다. 하루 정도 는 생각 을 해 보다 하다 것 같다. 내일 저녁 에 답 을 해 주 려고 해.
24,Panic,술김 에 오래 알 고 지내다 친구 한테 좋아하다 말 하다 버리다. 차라리 이렇게 내 마음 을 알다 후련하다. 후회 하다 않다 술 이 깨다 나니 너무 부끄럽다 해. 응. 일단 지금 은 무슨 말 이든 좋다 그 친구 한테 서다 연락 이 오다 좋다.
25,Panic,남편 앞 에서 처음 으로 방귀 를 뀌어 서 너무 민망하다. 냄새 가 나 지는 않다 소리 가 크게 나서다 정말 부끄럽다. 평생 방귀 를 참고 살 수도 없다 서로 약간 의 생리 현상 은 터 놓다 지내다 게 좋다 것 같다.
26,Wound,오랫동안 사랑 하다 그 가 오늘 나르다 떠나다 상처 받다. 십 년 동안 만나다 남자친구 인데 떠나다 상실 감 이 너무 크다. 친하다 친구 들 에게 넋두리 라도 하다 싶다 심정 이야.
27,Wound,그 가 나 와의 결혼식 을 며칠 앞두다 파혼 을 요청 하다 오다 상처 받다. 결혼 을 앞두다 갑자기 파혼 하다 하다 너무 당황 스럽다. 다시 한번 남자친구 랑 대화 하다 보다.
28,Wound,부모님 께서 우리 의 관계 를 인정 해주다 않다 너무 마음 이 아프다. 좋다 보다 거 라고 생각 하다 그렇다 않다 슬프다. 다시 한번 부모님 과 대화 를 해 보고 싶다.
29,Wound,결혼식 에 꼭 오다 주다 하다 친구 가 오지 않다 서운하다. 우리 의 결혼 을 못마땅하다 여기다 오지 않다 하다 배신 감다 들다. 나중 에 친구 랑 대화 의 기회 를 가지 면 좋다.
30,Wound,남자친구 가 내 가 떠나다 하다 때 나르다 끝내 잡지 않다 충격 받다. 영원하다 사랑 하다 하다 빈말 이어서 상처 받다. 마지막 으로 다시 한번 남자친구 랑 대화 하다 보다.
31,Wound,당연하다 평생 함께 하다 거 라고 믿다 우리 사이 가 오늘 로 끝 이 나서다 괴롭다. 결혼 하다 되다 줄 알다 괴롭다. 마음 이 진정 되다 않다 차분하다 마음 을 가라앉히다 보다.
32,Wound,남자친구 가 다른 여자 에게 관심 을 갖다 것 같다 괴롭다. 나 만을 사랑 하다 약속 하다 배신 당 한 기분 이야. 일단 친구 에게 연애 상담 을 받다 보다.
33,Wound,내 가 아이 를 낳다 못 하다 사실 을 알리 자 헤어지자 는 말 을 들어서다 힘들다. 응. 아이 를 낳다 못 하다 헤어지자 는 말 에 상처 받다. 다시 한번 대화 를 해 보다 해.
34,Wound,남편 의 불륜 을 알 게 되어다 배신 당 한 기분 이야. 그동안 싸우다 적도 없이 자다 지내다 그 의 불륜 으로 상처 받다. 결혼 한 친구 에게 전화 를 걸다 볼 래.
35,Wound,남자친구 가 바람 을 피우다 있다 사실 을 알다. 너무 배신 감 들다. 나 밖에 없다 하다 전부 거짓말 이어서 상처 받다. 나가다 친구 들 이랑 남자친구 욕 을 한바탕 하다 일단 나아지다 것 같다.
36,Wound,이번 연애 를 하다 너무 많이 상처 받다. 남자친구 가 매번 거짓말 하다 나르다 속이다. 심지어 바람 도 피우다 그만 헤어지자 고 하다. 친구 들 이랑 만나다 전 남자친구 욕 을 하다 해.
37,Panic,회사 에서 상사 가 나 한테 남자친구 가 있다 물어보다 당황 스럽다. 나 는 사실 여자친구 가 있다 회사 에서는 당연하다 남자 를 사귀다 있다 생각 하나 보다. 모르다. 여자친구 가 있다 걸 사실 대로 말 해보다 해.  
38,Panic,사람 들 이 혹시 라도 내 애인 에 관해 물어보다 난 당당하다 대답 하다 자신 이 없다. 애인 때문 이야. 실 은 내 애인 직업 도 별로 고 얼굴 도 못 생기다. 헤어지다 하다 ? 스스로 부끄럽다 생각 하다 말다. 그렇게 생각 하고 노력 하다 거야.
39,Panic,친구 들 이 내 결혼식장 에 오다 남편 을 보여주다 게 용기 가 나다 않다. 두렵다. 잘생기다 남자 랑 결혼 하다 거짓말 을 하다 사실 이 아니다 걸 들키다 보다 두렵다. 나 자신 은 스스로 부끄럽다 않다 생각 하다. 그게 자다 안 되다 그래도 !
40,Panic,오늘 고백 을 받다 아무 말 도 못 하다. 사실 난 동성애자 인데 사실 대로 말 하다 겁나다. 동성애 가 더럽다 편견 을 가지 고 있다 두렵다. 용기 가 나다 않다 그래도 사실 대로 얘기 하다. 계속 속이다 순 없다.
41,Panic,우리 사회 는 이성애자 에 보다 동성애자 가 겪다 어려움 이 너무 많다 소외 감 을 많이 느끼다. 당당하다 얘기 하고 싶다 보다 시선 이 좋다 않다 고민 이지. 언제 이렇다 편견 이 없어지다 모르다 나 부터 당당하다 하다. 앞 으로는 좀 더 당당하다 행동 하다.
42,Panic,그 사람 이 나르다 좋아하다 줄 은 꿈 에도 모르다 오늘 좋아하다 소릴 듣다 당황 하다. 응. 당황 스럽다 왜 이렇다 사람 이 나르다 좋아하다 생각 에 열등감 이 확 들다. 나 스스로 자신감 을 가다.
43,Panic,좋아하다 사람 에게 고백 하다 거절 당하다 당황 스럽다. 진실 을 말 하다 이해해 주다 받다 줄 알다. 없다 열등감 도 생기다 것 같다. 앞 으로 운동 도 하다 무슨 일이 든 최선 을 다해 서 자신감 있다 나로 변하다 해.
44,Panic,좋아하다 사람 을 보다 고백 하다 자신 이 없다 인사 만 하다 지나치다. 그 사람 에 비다 내 가 너무 초라하다 고백 못 하다. 그 사람 만 보다 열등감 이 저절로 생기다. 자신감 을 가다. 내 가 부족하다 생각 을 버리다 당당하다.
45,Panic,내 가 동성애자 라는 걸 분명하다 알 게 되다 나니 당황 스럽다. 다른 동료 들 을 보다 열등감 이 느껴지다. 이성애자 인 다른 사람 보다 내 가 못 난 사람인 것 같다 열등감 이 오다. 성 정체 성 을 인정 하다. 그리고 주변 사람 들 의 시선 도 이기다.
46,Panic,좋아하다 사람 이 내다 말 을 건네다 오다 너무 당황 하다. 대답 하다 못 한 게 너무 후회 돼다. 예전 부터 대화 하고 싶다 입 이 안 떨어지다. 이번 에 좋다 기회 이다 물 거품 이 돼다 후회 돼다. 용기 를 내다 손 이라도 흔들다.
47,Wound,남편 이 나다 안면 이 있다 회사 직원 과 불륜 을 저지르다 하다 충격 이야. 응. 남편 에게 나 밖에 없다 줄 알다 배신 감다 느끼다. 그 여자 와 삼자 대면 을 하다 변명 이라도 들다 겠다.
48,Wound,남자친구 가 결혼 일주일 전 아무 이유 없이 파혼 을 통보 하다 충격 이야. 전화하다 싶다 나오다 대화 하다 싫다 전화 도 안 받다. 전화 를 안 받다 장문 의 문자 라도 보내다 보다.
49,Wound,갑자기 배 가 아프다 산부인과 가다 임신 삼 개월 에 아이 를 유산 하다 충격 이야. 아이 가 유산 돼다 너무 슬프다 비통하다. 명상 을 하다 마음 을 다잡다 노력 중이 야.
50,Wound,산부인과 에 정기 검진 을 하다 가다 아이 가 기형 으로 태어나다 모르다 얘기 를 들어서다 충격 이야. 응. 다음 주 산부인과 에 재검사 가다 벌써 부터 마음 이 불안하다. 친정엄마 한테 가다 조언 을 들다 보다.
51,Wound,며칠 전 에 내 남자친구 가 몰래 내 친구 와 문자 연락 을 하다 걸 보다 충격 받다. 심지어 내 가 알다 사람 이라서 손 이 떨리다 정도 로 충격 이야. 사람 은 사람 으로 잊다 새롭다 사람 을 만나다.
52,Wound,우연히 남자친구 가 헤어지다 전 여자친구 를 잊다 못 하다 걸 알다. 남자친구 를 믿다 믿음 이 와르르 무너지다. 상처 받다 정말. 다른 좋다 사람 을 만나다 상처 가 아물다.
53,Wound,얼마 전 에 산부인과 에서 내 가 불임 이라는 진단 을 받다 정말 크게 충격 받다. 의사 는 스트레스 가 주 원인 이라고 진단 을 내리다. 나 어떻다 하다 하다 ? 회사 를 그만두다 임신 에 집중 하다.
54,Wound,친구 로부터 남자친구 가 예전 에 학교폭력 가해자 이다 사실 을 알다 충격 이야. 응. 누구 보다 자상하다 남자친구 이다 배신 감 에 충격 이 너무 크다. 남자친구 에게 솔직하다 왜 그렇다 물어보다.
55,Wound,방금 전 남편 이 퇴직금 을 전부 주식 으로 날리다 고백 하다 충격 이야. 어떻다 나 한테 일절 상의 도 없이 퇴직금 을 다 날리다 ? 너무 충격 이고 화가 나. 머리 식히다 드라이브 가다 남편 과 대화 를 하다 번 해보다.
56,Wound,남자친구 집 에 빚 이 많다 사실 을 처음 알다 놀라다. 남자친구 가 빚 도 많다 이제 까지 일부러 숨다 것 같다. 부모님 께 어떻다 말씀드리다 걱정 이야. 친구 에게 고민 상담 좀 해보다.
57,Wound,남자친구 친구 로부터 남자친구 가 전과자 이다 사실 을 알다 충격 적 이야. 응. 믿음직하다 남자 친 군데 사기죄 가 있다 너무 배신 감 이 들다. 지나가다 과거 는 과거 라고 편안하다 생각 하다 노력 중이 야.
58,Panic,비밀 로 해오다 사내 연애 가 회사 사람 들 이 모두 알 게 되어다 당황 스럽다. 그러니까 이제 어떻다 하다 하다 감 이 안 잡히다. 남자 친구 뿐 만이 아니다 엄마 와도 대화 를 해보다.
59,Sadness,하다 달 뒤 에 결혼 하다 친구 가 다른 여자 하고 바람 이 나다. 정말 정 떨어지다. 둘 이 십 년 째 자다 사귀다. 그런데 친구 녀석 이 직장 후배 랑 사고 를 치다 게 너무 어이 가 없다 화나다.
60,Anger,좋아하다 고백 을 받다 사귀다 기다 싫다. 자꾸 방어 적 으로 돼다. 많이 좋아하다 사람 이 있다 삼 년 가까이 연애 를 하다. 이 사람 이면 평생 을 함께 해도 되다 생각 하다 결국 엔 끝 이 오다. 그래서 새롭다 사람 하고 다시 시작 하다 두렵다.
61,Anger,남자친구 한테 짜증 을 내다. 내년 에는 결혼 하다 좋다 하다 난 결혼 생각 없다 하다. 그 이후 로 연락 이 없다. 글쎄 이렇다 걸 누구 한테 말 하다 수 있다.
62,Wound,나 만 빼다 주변 친구 들 모두 남자친구 가 있다 외로워. 다 들다 남자친구 얘기 밖에 안 해.
63,Panic,남자친구 가 바람 을 피우다 헤어지다. 치가 떨리다 화가 나. 모르다. 머릿속 에 남자친구 가 바람 피우다 생각 밖에 안 나. 단짝 친구 를 만나다 고민 상담 을 하다.
64,Wound,주변 친구 들 은 다 남자친구 가 있다 나 만 없다 것 같다 우울하다. 글쎄 친구 들 소개 를 받다 게 빠르다 것 같다 한데 맞다 방법 인지 자다 모르다.
65,Wound,직장 동료 들 이 다 결혼 하다 아이 가 있다 대화 하다 때 마다 나 만 소외 되다 것 같다. 아무래도 비슷하다 관심사 를 중심 으로 모이 다 보다 무리 가 점점 나뉘다 느낌 이 들다. 새롭다 모임 을 찾아보다.
66,Anger,부모님 께서 요즘 들다 계속 전화 로 결혼 생각 은 없다 물어보다. 전화 도 한두 번 이지 똑같다 내용 을 반복 하다 화 를 내다. 부모님 께 죄송하다 하다 어떻다 하다 하다 모르다. 언니 는 그래도 내 편이 니까 전화 를 해보다.
67,Panic,나 는 지금 비정규직 으로 일 하고 있다 결혼 하다 얼마나 돈 을 저축 하다 하다 ? 얼마 전 에 겨우 취업 을 하다 아직 은 저축 하다 못 한 상태 야. 응. 그런데 결혼 자금 으로 얼마 를 저축 하다 하다 모르다.
68,Panic,코로나 로 계속 취업 이 안 돼다 너무 고민 이야. 취업 이 안 되다 연애 를 하다 것 도 힘들다. 연애 하다 결혼 도 하다 출산 도 하다 텐데 계속 열등감 에 빠지다 되다. 이 나이 에도 돈 을 못 버 니까 이성 들 이 나르다 한심하다 보다 것 만 같다.
69,Anger,난 결혼 안 하다 거야. 요즘 부동산 가격 도 다 올라서다 집 사다 하다 돈 도 없다. 결혼 하다 작다 신혼집 이라도 있다 하다 요즘 전세 구 하다 힘들다 하다.
70,Wound,남자 친구 가 알 고 보다 두 달 뒤 에 결혼 하다 다른 여자 가 있다. 너무 화가 나. 내년 에 결혼 까지 약속 하다 너무 속상하다.
71,Panic,난 아이 를 갖다 싫다 주변 에 있다 사람 들 은 언제 아이 가 생기다 물어보다. 우리 부부 는 아이 를 안 갖다 하다 계속 그렇게 물어보다 불편하다. 이제 는 그냥 이웃 들 에게 아이 를 안 가다 하다 알다.
72,Anxiety,가족 들 과 친구 들 이 결혼 은 언제 하다 자꾸 물어보다 신경 쓰이다. 사람 들 말 도 일리 가 있다 나 는 아직 결혼 생각 이 없다.
73,Anxiety,남자친구 가 교회 에 안 다니다 자꾸 직장 사람 들 과 술 을 마시다 걱정 이야. 이번 주 부터 남자친구 에게 교회 의 제자 훈련 을 같이 받다 하다 거야. 우리 교회 의 제자 훈련 프로그램 이 정말 좋다.
74,Sadness,출산 으로 제 모든 삶 이 너무 불행하다. 직장 생활 도 그만두다 아이 만 보다 내 가 너무 한심하다. 그동안 말 못 하다 이번 에는 남편 한테 말 해보다.
75,Panic,친구 들 은 모두 결혼 하고 나 만 혼자 남다. 사실 자다 모르다. 친구 들 하나 둘 씩 결혼 하고 저만 남다 뭔가 잘못 하고 있다 것 같다. 꼭 하다 하다 일 을 못 하다 있다 기분 이 들다.
76,Joy,남자친구 와 너무 자다 맞다. 결혼 을 해도 이렇게 좋다 ? 이제껏 이렇게 저 를 편안하다 해주다 사람 은 없다. 항상 장난 처럼 말 하다 진지하다 이야기 는 하다 적 없다. 한번 말 해보다.
77,Anxiety,주변 에서 언제 결혼 하다 성화 야. 맞다. 결혼 은 내 일 인데 너무 참견 을 하니 정말 스트레스 받다. 참다 하다 얘기 하다 보다 적다 없다 것 같다.
78,Panic,아이 를 원하다 않다 임신 하다. 나 는 아이 를 좋아하다 않다 자다 기르다 자신 도 없다. 남자친구 와 의논 하다 보다 하다.
79,Anxiety,돈 이 없다 좋다 곳 에서 결혼 하고 싶다. 유명하다 비싸다 호텔 에서 결혼 하다 창피하다 않다 것 같다.
80,Panic,매번 이성 한테 차이다 뭐 가 문 제일 끄다 ? 맞다. 매력 이 없다 건지다 내 가 너무 한심하다.
81,Anger,결혼 준비 하다 게 너무 짜증 이 나. 결혼 하다 남자친구 가 사사건건 트집 을 잡다. 내 선택 대로 되다 게 하나 도 없다. 내 가 고르다 숟가락 도 마음 에 안 들다. 매사 에 꼬투리 를 잡다 것 처럼 느껴지다.
82,Anger,명절 에 맨날 시댁 먼저 가다 짜증 나. 맞다. 결혼 전 에는 모든 게 자유롭다 시댁 에 종속 되다 것 같다 화가 나. 남편 에게 말 해보다.
83,Anger,남자친구 가 나 한테 너무 집착 하다. 휴대폰 의 연락처 를 모두 지우다 친구 와 연락 이 끊기다. 아무 도 나 랑 연락 하다 않다. 남자친구 와 의논 하다 보다.
84,Joy,남자친구 가 자꾸 손가락 사이즈 를 물어보다 솔직하다 대답 하다 주기 싫다. 프로포즈 를 받다 것 같다 남자친구 를 놀리다 싶다 알다 않다. 응. 너무 신나다.
85,Anger,시어머니 가 연락 하다 않다 좋다. 시어머니 가 시집살이 를 시키다 보다 걱정 돼다 전화 벨 소리 도 무섭다. 그건 아니다 요즘 시댁 이 간섭 하다 내용 의 인터넷 글 을 많이 보다 걱정 돼다.
86,Panic,결혼 을 하다 덜 외롭다 ? 혼자 라는 감정 이 두렵다 외로워 서 그렇다 생각 이 들다. 결혼 을 하다 외로움 이 줄어들다 좋다.
87,Anxiety,이번 소개팅 도 자다 안 되어다. 이번 이 몇 번 째 인지 모르다. 나다 얼른 결혼 하고 싶다. 주변 친구 들 모두 연애 하고 결혼 하다 나 만 못 하다 더 그렇다 것 같다.
88,Anxiety,점점 출산 이 다가오다 걱정 이 많다. 제일 걱정 되다 점 은 출산 그 자체 야. 주변 에서 너무 아프다 데 아이 를 낳다 겁 이 나.
89,Anger,집 에서 남자친구 와의 결혼 을 반대 하다 괴롭다. 남자친구 와 가족 모두 가 소중하다 어떻다 하다 모르다. 친구 들 에게 상담 해보다 해.
90,Panic,남자친구 를 친구 에게 소개 하다 주다 하다 고민 이야. 남자친구 의 학력 이 좋다 않다 조금 부끄럽다. 친구 들 이 무시 하다 보다 걱정 이야.
91,Joy,시부모 님 께 어떻다 선물 을 해 드리다 하다 ? 우리 를 항상 도와주다 감사하다 마음 으로 보답 하고 싶다. 다른 친구 부부 에게 추천 부탁 하다 해.
92,Anger,나이 가 들다 결혼 을 하다 싶다 조급하다. 더 기다리다 결혼 을 하다 못 하다 것 같다. 남자친구 와 빨리 결혼 하고 싶다 어떡하다 ? 남자친구 와 얘기 하고 싶다 생각 이 다르다 보다 걱정 이야.
93,Anxiety,이성 에게 고백 을 받다 만날 지 말 지 고민 이 돼다. 이전 에 헤어지다 경험 이 너무 힘들다 새롭다 사람 을 만나다 겁나다. 아무래도 당사자 한테 말 해보다 게 좋다 ?
94,Panic,독서 모임 에서 만난 친구 에게 고백 하고 싶다 못 하다. 응. 여자 인 내 가 먼저 고백 하다 되다 고민 이야. 아무래도 남자 쪽 에서 고백 하다 경우 가 많다 내 가 너무 적극 적 이라고 밀다 내다 보다 걱정 돼다.
95,Anger,남자친구 가 자꾸 거짓말 을 하다 너무 화가 나. 담배 를 끊다 약속 을 하다 나 몰래 계속 담배 를 피우다 있다 더 라고. 정말 헤어지다 싶다. 하다 번만 더 그러면 헤어지다 거 라고 말 하다 거야.
96,Sadness,다 들다 왜 시집 안 가다 볶다 대다 모르다. 결혼 만 하다 수익 이 두 배 가 되다 것 같다 혜택 도 많다 것 처럼 열심히 포장 하다. 난 별것 도 아니다 생각 하 거들다.
97,Joy,친구 의 순산 소식 에 저절로 눈물 이 나오다. 응. 모두 가 힘 을 모으다 열렬하다 응원 중인 부부 이다 정말 자다 돼다.
98,Anxiety,남자친구 랑 계속 어긋나다 느낌 이야. 선호 하다 영화 도 다르다 항상 미묘하다 갈리다 느낌 이야. 나르다 존중 하다 않다 고집 만 부리다 것 도 이제 지치다.
99,Anxiety,요즘 운동 이 뜻대로 되다 않다. 임신 에 대비 하다 신경 쓸다 게 많다 정신 이 없다. 미리 걱정 이 되다 고민 도 많다.
100,Anger,남자친구 가 뮤지컬 보다 가지 말 자고 하다 짜증 나. 자다 알아보다 않다 가지 말 라고 하다 것 같다 답답하다. 남자친구 와 더 이상 대화 나누다 싶다 않다.
101,Sadness,어제 범죄 뉴스 보다 ? 이렇다 세상 에 어떻다 아이 를 낳을 수 있다. 성범죄 관련 내용 인데 너무 충격 적 이어서 잊혀지다 않다. 범죄 문제 때문 에 아이 를 기르다 기 가 두렵다 걱정 이야.
102,Joy,연애 문제 로 상담 이 필요하다 누구 한테 부탁 하다 모르다. 친구 에게 편하다 이야기 하고 싶다 다 들다 바쁘다 조심스럽다. 문자 로 미리 연락 해보다.
103,Panic,나 의 편이 되어다 내심 생각 하다 사람 이 그렇다 않다 솔직하다 배신 당 한 것 같다. 응. 배신 당 한 건지다 내 가 뭘 잘못 한 게 있다 따지다 보다 중이 야.
104,Anxiety,아이 를 가다 하다 그러면 몇 이나 가다 하다. 아이 가 두다 혜택 을 못 받다. 하다 명 이 거나 세 명 이상 이면 가능하다 말 이야. 처음 엔 아이 를 갖다 않다 합의 하다 시간 이 흐르다 생각 이 바뀌다 더 라고.
105,Wound,내 가 어머니 가 되다 자격 이 있다 ? 출산 에 대해 계산 적 으로 생각 하다 내 모습 이 괴롭다. 아이 들 로 혜택 을 얻다 수 있다 부분 부터 생각 하다 내 가 바보 같다.
106,Joy,그냥 나 는 우리 애가 태어나다 그 순간 에 모든 걸 다 받다. 아이 가 이 세상 에 나오다 준 것 만으로도 더하다 나위 없이 고맙다 더 라고.
107,Joy,드디어 내 가 응원 하다 커플 이 결혼 까지 골인 하다 ! 아이 태어나다 내 가 대모 해주다 싶다 그냥 다 잘해주다 싶다 막 그렇다.
108,Sadness,지금 같다 세상 에도 아들 못 낳다 차별 하다. 할아버지 는 항상 남자 손주 부터 챙기다 더 라고. 딸아이 들 이 눈치 보다 게 제일 싫다. 내 가 욕먹다 내 선 에서 끝나다 좋다.
109,Anxiety,지금 남자친구 와 결혼 을 계획 하고 있다. 이 선택 이 옳다 선택 이다 ? 막상 결혼 하다 망설이다 되다. 내 가 잘 하다 수 있다 모르다. 남자친구 에게 직접 이야기 하다 게 가장 좋다 것 같다.
